# Table 1 from "Optical properties of the clearest natural waters
# (200-800 nm)", Smith and Baker, Applied Optics, vol. 20, 177-184,
# 1981. 
#
# Column 1: wavelength (nm)
# Column 2: K^sw_w (m-1)
# Column 1: a_w (m-1)
# Column 1: b^sw_m (m-1)
# Column 1: b^fw_m (m-1)
#
200	3.14    3.07	0.151   0.116 
210	2.05 	1.99	0.119   0.0935
220	1.36 	1.31    0.0995  0.0770
230	0.968 	0.927   0.0820  0.0635
240	0.754 	0.720   0.0685  0.0525
250	0.588 	0.559   0.0575  0.0443
260	0.481 	0.457   0.0485  0.0375
270	0.394 	0.373   0.0415  0.0320
280	0.306 	0.288   0.0353  0.0272
290	0.230	0.215   0.0305  0.0235
300	0.154 	0.141   0.0262  0.0201
310	0.116 	0.105   0.0229  0.0176
320	0.0944 	0.0844  0.0200  0.0153
330	0.0765 	0.0678  0.0175  0.0134
340	0.0637 	0.0561  0.0153  0.0118
350	0.0530 	0.0463  0.0134  0.0103
360	0.0439 	0.0379  0.0120  0.0091
370	0.0353 	0.0300  0.0106  0.0081
380	0.0267 	0.0220  0.0094  0.0072
390	0.0233	0.0191  0.0084  0.0065
400	0.0209 	0.0171  0.0076  0.0058
410	0.0196 	0.0162  0.0068  0.0052
420	0.0184 	0.0153  0.0061  0.0047
430	0.0172 	0.0144  0.0055  0.0042
440	0.0170 	0.0145  0.0049  0.0038
450	0.0168 	0.0145  0.0045  0.0035
460	0.0176 	0.0156  0.0041  0.0031
470	0.0175 	0.0156  0.0037  0.0029
480	0.0194 	0.0176  0.0034  0.0026
490	0.0212	0.0196  0.0031  0.0024
500	0.0271 	0.0257  0.0029  0.0022
510	0.0370 	0.0357  0.0026  0.0020
520	0.0489 	0.0477  0.0024  0.0019
530	0.0519 	0.0507  0.0022  0.0017
540	0.0568 	0.0558  0.0021  0.0016
550	0.0648 	0.0638  0.0019  0.0015
560	0.0717 	0.0708  0.0018  0.0014
570	0.0807 	0.0799  0.0017  0.0013
580	0.109 	0.108   0.0016  0.0012
590	0.158	0.157   0.0015  0.0011
600	0.245 	0.244   0.0014  0.0011
610	0.290 	0.289   0.0013  0.0010
620	0.310 	0.309   0.0012  0.0009
630	0.320 	0.319   0.0011  0.0009
640	0.330 	0.329   0.0010  0.0008
650	0.350 	0.349   0.0010  0.0007
660	0.400 	0.400   0.0008  0.0007
670	0.430 	0.430   0.0008  0.0007
680	0.450 	0.450   0.0007  0.0006
690	0.500	0.500   0.0007  0.0006
700	0.650 	0.650   0.0007  0.0005
710	0.834 	0.839   0.0007  0.0005
720	1.170 	1.169   0.0006  0.0005
730	1.800 	1.799   0.0006  0.0005
740	2.380 	2.38    0.0006  0.0004
750	2.47 	2.47    0.0005  0.0004
760	2.55 	2.55    0.0005  0.0004
770	2.51 	2.51    0.0005  0.0004
780	2.36 	2.36    0.0004  0.0003
790	2.16 	2.16    0.0004  0.0003
800	2.07	2.07    0.0004  0.0003
